,Địa chỉ,Khu vực,phường/xã,dự án/số hẻm đường,Khoảng giá phổ biến Min,Giá phổ biến nhất,Khoảng giá phổ biến Max,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Mức giá
0,"Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",Quận 1,Nguyễn Cư Trinh,Đường Trần Hưng Đạo,179,466,873,374.0,4,5,6,180000.0
1,"Phố Nguyễn Xí, Phường 13, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,13,Phố Nguyễn Xí,102,139,421,100.0,2,2,3,9500.0
2,"Đường Số 8, Phường Linh Chiểu, Thủ Đức, Hồ Chí Minh",Thủ Đức,Linh Chiểu,Đường Số 8,60,85,259,115.7,4,4,3,12500.0
3,"Đường Nguyễn Thị Minh Khai, Phường 5, Quận 3, Hồ Chí Minh",Quận 3,5,Đường Nguyễn Thị Minh Khai,180,485,796,180.0,7,4,4,70000.0
4,"Đường Nguyễn Trọng Tuyển, Phường 1, Tân Bình, Hồ Chí Minh",Tân Bình,1,Đường Nguyễn Trọng Tuyển,155,195,454,157.0,3,5,6,33000.0
5,"Đường Số 5, Phường 17, Gò Vấp, Hồ Chí Minh",Gò Vấp,17,Đường Số 5,101,132,299,72.0,1,2,1,7700.0
6,"Đường Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",Quận 5,4,Đường Trần Bình Trọng,152,185,632,69.7,3,4,4,11000.0
7,"Đường Trần Bá Giao, Phường 5, Gò Vấp, Hồ Chí Minh",Gò Vấp,5,Đường Trần Bá Giao,88,120,351,85.0,5,10,4,10900.0
8,"Dự án The Manhattan, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Quận 9,Long Thạnh Mỹ,"Dự án The Manhattan, Đường Nguyễn Xiển",58,141,317,126.0,5,5,5,15800.0
9,"Đường Nhật Tảo, Phường 8, Quận 10, Hồ Chí Minh",Quận 10,8,Đường Nhật Tảo,167,213,450,45.0,4,5,4,13500.0
10,"Đường Phạm Văn Bạch, Phường 12, Gò Vấp, Hồ Chí Minh",Gò Vấp,12,Đường Phạm Văn Bạch,101,132,299,102.0,1,2,1,12900.0
11,"Đường Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh",Quận 1,Bến Nghé,Đường Lê Thánh Tôn,300,1163,2084,44.0,3,4,4,19900.0
12,"Đường Lê Công Phép, Phường An Lạc, Bình Tân, Hồ Chí Minh",Bình Tân,An Lạc,Đường Lê Công Phép,74,97,219,48.1,2,2,2,4900.0
13,"Dự án Hoàng Anh River View, Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Quận 2,Thảo Điền,"Dự án Hoàng Anh River View, Đường Nguyễn Văn Hưởng",54,236,630,235.0,3,4,4,12500.0
14,"Đường Lê Văn Miến, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Quận 2,Thảo Điền,Đường Lê Văn Miến,54,236,630,188.0,3,5,5,40000.0
15,"Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh",Quận 8,6,Đường Phạm Thế Hiển,38,99,175,90.0,1,2,2,8500.0
16,"Phố Phan Đăng Lưu, Phường 7, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,7,Phố Phan Đăng Lưu,120,174,524,235.0,3,4,4,37500.0
17,"Đường Dương Bá Trạc, Phường 2, Quận 8, Hồ Chí Minh",Quận 8,2,Đường Dương Bá Trạc,96,132,259,22.0,3,3,3,3790.0
18,"Dự án Saigon Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",Bình Thạnh,22,"Dự án Saigon Pearl, Đường Nguyễn Hữu Cảnh",97,141,284,147.0,4,5,6,98000.0
19,"Đường Hoa Sứ, Phường 2, Phú Nhuận, Hồ Chí Minh",Phú Nhuận,2,Đường Hoa Sứ,135,344,586,117.0,3,4,4,15500.0
20,"Đường Cách Mạng Tháng Tám, Phường 5, Tân Bình, Hồ Chí Minh.",Tân Bình,5,Đường Cách Mạng Tháng Tám,117,160,474,1500.0,4,5,6,299000.0
